name,shortname,prop.id,url,yes_votes,no_votes,total_votes,voting_startdate,voting_enddate,eligible_tickets,cost,duration,domain,arrears,state,contractor,internal,fixed_pro_rata,renewal,published_at,voter_participation,approval,version,comments,comment.votes
CoinStory - The History and Evolution of Cryptocurrencies (Book),CoinStory,4affceb07f5b8126366e8b73ed3d164ebc010bc6fefba19375c4c2e2b252beb0,https://proposals.decred.org/proposals/4affceb07f5b8126366e8b73ed3d164ebc010bc6fefba19375c4c2e2b252beb0,1576,11956,13532,2020-06-01 00:01:53,2020-06-08 20:46:09,39987,500,5,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2020-05-18 21:37:21,0.338409983244554,11.6,4,24,68
Grapefruit Trading Market Making proposal,MM Grapefruit,4becbe00bd5ae93312426a8cf5eeef78050f5b8b8430b45f3ea54ca89213f82b,https://proposals.decred.org/proposals/4becbe00bd5ae93312426a8cf5eeef78050f5b8b8430b45f3ea54ca89213f82b,6286,7059,13345,2019-09-04 01:17:12,2019-09-11 21:46:09,40770,185000,6,Marketmaking,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2019-08-07 19:56:35,0.327324012754476,47.1,2,41,97
Design of Social Media Memes for Decred,Memes,4f810317e07d134520faa6fd98a14b4c3e08c38227501558a90c1457c939ecd1,https://proposals.decred.org/proposals/4f810317e07d134520faa6fd98a14b4c3e08c38227501558a90c1457c939ecd1,NA,NA,NA,NA,NA,NA,2958,2,Marketing,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,2020-07-31 12:27:55,NA,NA,2,23,20
Sweepstakes,Sweepstakes,517ac6598031e17e3e301d41e73a62e4a7c10ee6dafb3dc65fbdd32f550971b0,https://proposals.decred.org/proposals/517ac6598031e17e3e301d41e73a62e4a7c10ee6dafb3dc65fbdd32f550971b0,NA,NA,NA,NA,NA,NA,0,0,Misc,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,2018-11-05 20:08:34,NA,NA,1,17,45
"Change language: PoS Mining to PoS Voting, Stakepool to Voting Service Provider",Stakepool>VSP,522652954ea7998f3fca95b9c4ca8907820eb785877dcf7fba92307131818c75,https://proposals.decred.org/proposals/522652954ea7998f3fca95b9c4ca8907820eb785877dcf7fba92307131818c75,23789,1508,25297,2018-10-28 20:04:24,2018-11-05 19:26:12,40958,0,0,Policy,NA,Approved,Contractor,Internal,NA,0,2018-10-18 22:34:17,0.617632696909029,94,1,19,46
Ditto Communications Proposal for Decred: Phase 2,Ditto 2,52ea110ea061c72d3b31ed2f5635720b212ce5e3eaddf868d60f53a3d18b8c04,https://proposals.decred.org/proposals/52ea110ea061c72d3b31ed2f5635720b212ce5e3eaddf868d60f53a3d18b8c04,9161,2933,12094,2019-06-02 20:04:48,2019-06-10 17:31:18,41355,150000,6,Marketing,FALSE,Approved,Contractor,External,fixed cost,1,2019-05-29 15:57:55,0.292443477209527,75.7,2,35,110
RFP: Decred Decentralized Exchange Infrastructure,DEX RFP,5431da8ff4eda8cdbf8f4f2e08566ffa573464b97ef6d6bae78e749f27800d3a,https://proposals.decred.org/proposals/5431da8ff4eda8cdbf8f4f2e08566ffa573464b97ef6d6bae78e749f27800d3a,14411,1256,15667,2019-03-04 16:24:06,2019-03-12 14:43:36,40605,0,0,RFP,NA,Approved,Contractor,Internal,NA,0,2019-02-04 15:00:18,0.385839182366704,92,3,84,414
Open DotA 2 Pubs for Decred Purse,Dota2 Prizes,5a1bd4116565d107c1672799ed16cae9e92ec633c6e39d9b463b8218e66ff759,https://proposals.decred.org/proposals/5a1bd4116565d107c1672799ed16cae9e92ec633c6e39d9b463b8218e66ff759,546,11119,11665,2019-10-28 23:40:58,2019-11-05 22:03:09,40945,450,1,Marketing,FALSE,Rejected,Not a Contractor,Internal,fixed cost,0,2019-10-21 14:09:07,0.284894370497008,4.7,2,16,34
Decred Latam Marketing and Events Proposal,Latam 1,5af0ce1cd325be6be39109c2750f34095c4e8feeea962ede058a1e4f4a61473e,https://proposals.decred.org/proposals/5af0ce1cd325be6be39109c2750f34095c4e8feeea962ede058a1e4f4a61473e,9023,2975,11998,2019-11-21 01:36:19,2019-11-28 21:19:29,41281,72000,6,Marketing,FALSE,Approved,Contractor,Internal,pro rata,0,2019-11-07 01:17:44,0.290642184055619,75.2,11,30,218
Decred Open Source Research proposal 2 - research projects,Dosrpg-projects,5d9cfb07aefb338ba1b74f97de16ee651beabc851c7f2b5f790bd88aea23b3cb,https://proposals.decred.org/proposals/5d9cfb07aefb338ba1b74f97de16ee651beabc851c7f2b5f790bd88aea23b3cb,NA,NA,NA,NA,NA,NA,0,0,Research,FALSE,Abandoned,Contractor,Internal,NA,0,2018-11-26 16:29:04,NA,NA,2,45,143
Decred Integration for IDAX Exchange,IDAX Exchange,60adb9c0946482492889e85e9bce05c309665b3438dd85cb1a837df31fbf57fb,https://proposals.decred.org/proposals/60adb9c0946482492889e85e9bce05c309665b3438dd85cb1a837df31fbf57fb,2381,7255,9636,2019-02-26 17:34:08,2019-03-06 15:42:19,41133,5000,1,Integration,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2019-02-26 12:40:07,0.234264459193348,24.7,1,31,75
Decred - An economic phenomenon [Research and Education proposal],Ammarooni Research,65bde4146b845e7e839d6916d4d8f642bc39c250df5379c2f1e26c4ab778ec1a,https://proposals.decred.org/proposals/65bde4146b845e7e839d6916d4d8f642bc39c250df5379c2f1e26c4ab778ec1a,9609,2337,11946,2019-10-28 23:40:58,2019-11-05 22:03:09,40945,8000,3,Research,PARTIAL,Approved,Not a Contractor,Internal,fixed cost,0,2019-10-17 14:16:58,0.291757235315667,80.4,1,26,66
Decred Open Source Research proposal: Phase 2,Research 2,67de0e901143400ae2f247391c4d5028719ffea8308fbc5854745ad859fb993f,https://proposals.decred.org/proposals/67de0e901143400ae2f247391c4d5028719ffea8308fbc5854745ad859fb993f,12089,1312,13401,2019-06-02 22:11:46,2019-06-10 20:44:33,41306,20000,6,Research,FALSE,Approved,Contractor,Internal,pro rata,1,2019-05-30 17:04:13,0.32443228586646,90.2,2,10,37
DCR On-Chain Research: Phase 2,Permabullnino Research 2,68a32c1f36d24a17e5eb69d6d1b6adb587ca45c9c7e64e85c353e7dba7fca545,https://proposals.decred.org/proposals/68a32c1f36d24a17e5eb69d6d1b6adb587ca45c9c7e64e85c353e7dba7fca545,10364,3566,13930,2020-06-01 00:01:53,2020-06-08 20:46:09,39987,16000,9,Research,FALSE,Approved,Contractor,Internal,fixed cost,1,2020-05-13 19:26:27,0.348363218045865,74.4,1,35,131
Planet Decred launch proposal,Planet Decred,6b7ba5b9b8fd37a7a842de5a3d891a3847adfe1816a7b052491ff999d7f65965,https://proposals.decred.org/proposals/6b7ba5b9b8fd37a7a842de5a3d891a3847adfe1816a7b052491ff999d7f65965,NA,NA,NA,NA,NA,NA,22000,6,Misc,FALSE,Abandoned,Contractor,Internal,fixed cost,0,2020-06-02 14:58:42,NA,NA,3,32,63
