name,shortname,prop.id,yes_votes,no_votes,total_votes,voting_startdate,voting_enddate,eligible_tickets,cost,duration,domain,arrears,state,contractor,internal,fixed_pro_rata,renewal,voter_participation,approval,comments
Ditto Communications Proposal for Decred: Phase 2,Ditto 2,52ea110ea061c72d3b31ed2f5635720b212ce5e3eaddf868d60f53a3d18b8c04,9161,2933,12094,2019-06-02 20:04:48,2019-06-10 17:31:18,41355,150000,6,Marketing,FALSE,Approved,Contractor,External,fixed cost,1,0.292443477209527,75.7,35
RFP: Decred Decentralized Exchange Infrastructure,DEX RFP,5431da8ff4eda8cdbf8f4f2e08566ffa573464b97ef6d6bae78e749f27800d3a,14411,1256,15667,2019-03-04 16:24:06,2019-03-12 14:43:36,40605,0,0,RFP,NA,Approved,Contractor,Internal,NA,0,0.385839182366704,92,84
Open DotA 2 Pubs for Decred Purse,Dota2 Prizes,5a1bd4116565d107c1672799ed16cae9e92ec633c6e39d9b463b8218e66ff759,546,11119,11665,2019-10-28 23:40:58,2019-11-05 22:03:09,40945,450,1,Marketing,FALSE,Rejected,Not a Contractor,Internal,fixed cost,0,0.284894370497008,4.7,16
Decred Latam Marketing and Events Proposal,Latam 1,5af0ce1cd325be6be39109c2750f34095c4e8feeea962ede058a1e4f4a61473e,9023,2975,11998,2019-11-21 01:36:19,2019-11-28 21:19:29,41281,72000,6,Marketing,FALSE,Approved,Contractor,Internal,pro rata,0,0.290642184055619,75.2,30
Decred Open Source Research proposal 2 - research projects,Dosrpg-projects,5d9cfb07aefb338ba1b74f97de16ee651beabc851c7f2b5f790bd88aea23b3cb,NA,NA,NA,NA,NA,NA,0,0,Research,FALSE,Abandoned,Contractor,Internal,NA,0,NA,NA,45
Decred Integration for IDAX Exchange,IDAX Exchange,60adb9c0946482492889e85e9bce05c309665b3438dd85cb1a837df31fbf57fb,2381,7255,9636,2019-02-26 17:34:08,2019-03-06 15:42:19,41133,5000,1,Integration,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.234264459193348,24.7,31
Decred - An economic phenomenon [Research and Education proposal],Ammarooni Research,65bde4146b845e7e839d6916d4d8f642bc39c250df5379c2f1e26c4ab778ec1a,9609,2337,11946,2019-10-28 23:40:58,2019-11-05 22:03:09,40945,8000,3,Research,PARTIAL,Approved,Not a Contractor,Internal,fixed cost,0,0.291757235315667,80.4,26
Decred Open Source Research proposal: Phase 2,Research 2,67de0e901143400ae2f247391c4d5028719ffea8308fbc5854745ad859fb993f,12089,1312,13401,2019-06-02 22:11:46,2019-06-10 20:44:33,41306,20000,6,Research,FALSE,Approved,Contractor,Internal,pro rata,1,0.32443228586646,90.2,10
DCR On-Chain Research: Phase 2,Permabullnino Research 2,68a32c1f36d24a17e5eb69d6d1b6adb587ca45c9c7e64e85c353e7dba7fca545,10364,3566,13930,2020-06-01 00:01:53,2020-06-08 20:46:09,39987,16000,9,Research,FALSE,Approved,Contractor,Internal,fixed cost,1,0.348363218045865,74.4,35
Planet Decred launch proposal,Planet Decred,6b7ba5b9b8fd37a7a842de5a3d891a3847adfe1816a7b052491ff999d7f65965,NA,NA,NA,NA,NA,NA,22000,6,Misc,FALSE,Abandoned,Contractor,Internal,fixed cost,0,NA,NA,32
Decred Europe - Grassroots Marketing and Events Proposal,European Marketing,6ceb278ecd96589f5c9dabcd7ce986bc58ebfe2d4dbb793dd5b21818711b453b,3857,6393,10250,2020-02-24 18:05:01,2020-03-03 18:31:20,41332,49000,10,Marketing,FALSE,Rejected,Contractor,Internal,pro rata,0,0.247991870705507,37.6,34
RFP MM: Altonomy,MM Altonomy,NA,NA,NA,NA,NA,NA,NA,295000,6,Marketmaking,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,NA,NA,NA
Decred Fundamental Metrics Research Proposal - Phase 1,Decred metrics 1,78b50f218106f5de40f9bd7f604b048da168f2afbec32c8662722b70d62e4d36,10630,889,11519,2019-07-29 12:51:10,2019-08-06 10:27:11,40610,12000,3,Research,PARTIAL,Approved,Not a Contractor,Internal,fixed cost,0,0.283649347451367,92.3,19
Decred Poker Series,Poker Prizes,7a67ed5a1f9965c034d87ff2b6f3580f07e3567250394b5c885c9392ccd85134,NA,NA,NA,NA,NA,NA,4500,1,Marketing,FALSE,Abandoned,Not a Contractor,Internal,fixed cost,0,NA,NA,15
Decred Daily Initiatives Proposal,Decred Daily,7d42c6f4bf3059b64789185af615c1df97cb61a379425933be5ff01d074ed4d5,3066,3938,7004,2020-04-09 00:25:59,2020-04-16 21:53:26,41261,5280,6,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.169748673081118,43.8,17
